the_geom,cartodb_id,address,latitude,longitude,neighborhood
0101000020E6100000019A081B9E3E53C035B39602D26E4340,73,Anacostia Library,38.865784,-76.9784,Fairlawn
0101000020E61000003A3B191C253E53C09E45EF54C06F4340,74,Pennsylvania & Minnesota Ave SE,38.873057,-76.971015,Fairlawn
0101000020E6100000E12879758E4353C001F73C7FDA724340,75,Kennedy Center,38.897293,-77.05557,Foggy Bottom
0101000020E61000002DAA4544314353C04BE82E89B3724340,76,23rd & E St NW,38.896104,-77.049882,Foggy Bottom
0101000020E61000007B14AE47E14253C0D0B359F5B9724340,77,20th & E St NW,38.8963,-77.045,Foggy Bottom
0101000020E6100000CB80B3942C4053C0B35C363AE7794340,78,Fort Totten Metro,38.952369,-77.002721,Fort Totten
0101000020E6100000C495B377464553C007EA9447377A4340,79,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,Friendship Heights
0101000020E61000008A5A9A5B214353C06CCF2C0950734340,80,22nd & I St NW / Foggy Bottom,38.90088,-77.048911,George Washington University
0101000020E61000005456D3F5444353C0930035B56C734340,81,New Hampshire Ave & 24th St NW,38.901755,-77.051084,George Washington University
0101000020E61000005EBA490C024353C04F1E166A4D734340,82,21st & I St NW,38.9008,-77.047,George Washington University
0101000020E610000052F2EA1C034453C048E17A14AE734340,83,C & O Canal & Wisconsin Ave NW,38.90375,-77.06269,Georgetown
0101000020E610000053245F09A44353C03161342BDB734340,84,M St & Pennsylvania Ave NW,38.905126,-77.056887,Georgetown
0101000020E6100000F19E03CB114453C01B5F7B6649744340,85,Wisconsin Ave & O St NW,38.90849,-77.063586,Georgetown
0101000020E610000051137D3ECA4353C0D8614CFA7B734340,86,Georgetown Harbor / 30th St NW,38.902221,-77.059219,Georgetown
0101000020E6100000956588635D4453C02657B1F84D754340,87,34th St & Wisconsin Ave NW,38.916442,-77.0682,Georgetown
0101000020E61000005A2C45F2954453C0B1A206D330744340,88,37th & O St NW / Georgetown University,38.90774,-77.071652,Georgetown
0101000020E61000001B48179B564453C08CA03193A8734340,89,34th & Water St NW,38.903582,-77.067786,Georgetown
0101000020E6100000787B1002F24453C0F357C85C19764340,90,39th & Calvert St NW / Stoddert,38.922649,-77.077271,Glover Park
0101000020E610000066136058FE4253C05DE15D2EE2734340,91,21st & M St NW,38.90534,-77.046774,Golden Triangle
0101000020E61000003FA9F6E9784253C08811C2A38D734340,92,17th & K St NW,38.90276,-77.03863,Golden Triangle
0101000020E610000003780B24284253C0B3EA73B515734340,93,New York Ave & 15th St NW,38.8991,-77.0337,Golden Triangle
0101000020E61000004B22FB20CB4253C01EFD2FD7A2734340,94,19th & L St NW,38.903407,-77.043648,Golden Triangle
0101000020E6100000E82D1EDE734253C0A0FF1EBC76734340,95,17th & K St NW / Farragut Square,38.902061,-77.038322,Golden Triangle
0101000020E6100000F14A92E7FA4253C0C68844A165734340,96,21st St & Pennsylvania Ave NW,38.901539,-77.046564,Golden Triangle
0101000020E610000029E8F692C64253C00229B16B7B734340,97,19th & K St NW,38.902204,-77.04337,Golden Triangle
0101000020E61000001D8EAED2DD4253C02D98F8A3A8734340,98,20th & L St NW,38.903584,-77.044789,Golden Triangle
0101000020E6100000D55B035B254253C0FA7E6ABC74734340,99,15th & K St NW,38.902,-77.03353,Golden Triangle
0101000020E61000008CA03193A84253C0C16ED8B628734340,100,18th St & Pennsylvania Ave NW,38.89968,-77.041539,Golden Triangle
0101000020E61000005F99B7EA3A4253C0085A8121AB734340,101,15th & L St NW,38.90366,-77.034846,Golden Triangle
0101000020E6100000C0081A33894253C01E335019FF724340,102,17th & G St NW,38.89841,-77.039624,Golden Triangle
0101000020E6100000A8716F7EC34253C0BF2A172AFF724340,103,19th & G St NW,38.898412,-77.043182,Golden Triangle
0101000020E6100000E63FA4DFBE4253C05D4BC8073D734340,104,19th St & Pennsylvania Ave NW,38.9003,-77.0429,Golden Triangle
0101000020E6100000505436ACA94253C0A8A8FA95CE734340,105,18th & M St NW,38.904742,-77.041606,Golden Triangle
0101000020E6100000828C800A473D53C02CF180B229714340,106,34th St & Minnesota Ave SE,38.884085,-76.957461,Greenway
0101000020E6100000011764CBF23E53C01A8BA6B393714340,107,15th St & Massachusetts Ave SE,38.88732,-76.983569,Hill East
0101000020E610000098DD9387853E53C0C342AD69DE714340,108,19th & East Capitol St SE,38.8896,-76.9769,Hill East
0101000020E61000003D2CD49AE63D53C012A5BDC1176E4340,109,Good Hope & Naylor Rd SE,38.8601,-76.9672,Hillcrest
0101000020E61000001E3526C45C3F53C0670E492D946E4340,111,Pleasant St & MLK Ave SE,38.863897,-76.990037,Historic Anacostia
0101000020E6100000B031AF230E3F53C04BADF71BED6E4340,112,Good Hope Rd & 14th St SE,38.866611,-76.985238,Historic Anacostia
0101000020E6100000287E8CB96B4153C003098A1F63764340,113,Georgia Ave and Fairmont St NW,38.9249,-77.0222,Howard University
0101000020E6100000083D9B559F3F53C0E4F736FDD9734340,114,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,Ivy City
0101000020E61000008F662C9ACE3F53C0D0402C9B39744340,115,Union Market/6th St & Neal Pl NE,38.908008,-76.996985,Ivy City
0101000020E610000065A88AA9F43E53C01C0B0A8332754340,116,New York Ave & Hecht Ave NE,38.915604,-76.983683,Ivy City
0101000020E61000009DD32CD0EE3E53C071395E81E8714340,117,15th & East Capitol St NE,38.889908,-76.983326,Kingman Park
0101000020E6100000728A8EE4F23E53C03F912749D7724340,118,15th & F St NE,38.897195,-76.983575,Kingman Park
0101000020E610000068CEFA94633E53C0A88FC01F7E724340,119,Oklahoma Ave & D St NE,38.894474,-76.974828,Kingman Park
0101000020E61000004051D9B0A63E53C07FA4880CAB764340,120,18th St & Rhode Island Ave NE,38.927095,-76.978924,Langdon
0101000020E6100000E5ED08A7054153C0890B40A374754340,121,3rd & Elm St NW,38.917622,-77.01597,Le Droit Park
0101000020E6100000A69883A0A33B53C0AB23473A03734340,122,Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862,Lincoln Heights
0101000020E6100000A3755435413F53C086AE44A0FA714340,123,Lincoln Park / 13th & East Capitol St NE,38.890461,-76.988355,Lincoln Park
0101000020E61000007AA52C431C3F53C0FED478E926714340,124,14th & D St SE,38.884,-76.9861,Lincoln Park
0101000020E61000001D554D10754153C031EBC5504E744340,125,8th & O St NW,38.90864,-77.02277,Logan Circle/Shaw
